timestamp,gpu_id,utilization_gpu,memory_used,memory_total,temperature,power_draw
2026/02/02 09:36:57.799,0,90,76757,81559,42,315.57
2026/02/02 09:36:57.819,1,90,77241,81559,40,309.27
2026/02/02 09:36:57.831,2,92,77065,81559,38,309.90
2026/02/02 09:36:57.840,3,92,76551,81559,42,324.10
2026/02/02 09:36:57.850,4,92,77115,81559,44,310.33
2026/02/02 09:36:57.859,5,90,77617,81559,36,303.49
2026/02/02 09:36:57.874,6,90,77177,81559,41,316.51
2026/02/02 09:36:57.887,7,91,76677,81559,35,306.42
2026/02/02 09:36:59.222,0,88,76757,81559,42,311.83
2026/02/02 09:36:59.234,1,91,77241,81559,40,304.10
2026/02/02 09:36:59.251,2,90,77065,81559,38,304.80
2026/02/02 09:36:59.264,3,90,76551,81559,42,318.11
2026/02/02 09:36:59.279,4,90,77115,81559,44,309.85
2026/02/02 09:36:59.291,5,91,77617,81559,36,299.92
2026/02/02 09:36:59.320,6,92,77177,81559,41,311.12
2026/02/02 09:36:59.330,7,90,76677,81559,35,301.25
2026/02/02 09:37:00.732,0,89,76757,81559,42,318.72
2026/02/02 09:37:00.744,1,89,77241,81559,41,313.06
2026/02/02 09:37:00.758,2,91,77065,81559,38,312.50
2026/02/02 09:37:00.766,3,91,76551,81559,42,326.98
2026/02/02 09:37:00.777,4,89,77115,81559,44,314.82
2026/02/02 09:37:00.794,5,91,77617,81559,36,308.12
2026/02/02 09:37:00.803,6,90,77177,81559,41,317.90
2026/02/02 09:37:00.822,7,90,76677,81559,35,311.60
2026/02/02 09:37:02.132,0,90,76757,81559,42,321.53
2026/02/02 09:37:02.152,1,89,77241,81559,41,314.41
2026/02/02 09:37:02.165,2,90,77065,81559,38,314.01
2026/02/02 09:37:02.176,3,90,76551,81559,42,331.31
2026/02/02 09:37:02.186,4,92,77115,81559,44,316.77
2026/02/02 09:37:02.196,5,89,77617,81559,36,310.57
2026/02/02 09:37:02.201,6,90,77177,81559,41,318.21
2026/02/02 09:37:02.212,7,90,76677,81559,35,314.21
2026/02/02 09:37:03.546,0,91,76757,81559,42,322.39
2026/02/02 09:37:03.562,1,90,77241,81559,41,313.02
2026/02/02 09:37:03.571,2,92,77065,81559,37,315.79
2026/02/02 09:37:03.580,3,91,76551,81559,42,331.90
2026/02/02 09:37:03.589,4,90,77115,81559,44,317.41
2026/02/02 09:37:03.598,5,92,77617,81559,36,309.83
2026/02/02 09:37:03.607,6,92,77177,81559,41,320.30
2026/02/02 09:37:03.617,7,90,76677,81559,35,314.87
2026/02/02 09:37:04.939,0,91,76757,81559,42,322.73
2026/02/02 09:37:04.951,1,91,77241,81559,40,311.09
2026/02/02 09:37:04.972,2,91,77065,81559,37,312.70
2026/02/02 09:37:04.982,3,91,76551,81559,42,328.03
2026/02/02 09:37:04.993,4,90,77115,81559,43,317.16
2026/02/02 09:37:05.003,5,90,77617,81559,36,309.46
2026/02/02 09:37:05.012,6,90,77177,81559,41,321.55
2026/02/02 09:37:05.048,7,91,76677,81559,35,311.85
2026/02/02 09:37:06.437,0,91,76757,81559,42,318.36
2026/02/02 09:37:06.448,1,91,77241,81559,40,305.93
2026/02/02 09:37:06.458,2,91,77065,81559,37,310.09
2026/02/02 09:37:06.469,3,91,76551,81559,42,323.59
2026/02/02 09:37:06.496,4,90,77115,81559,44,309.77
2026/02/02 09:37:06.516,5,90,77617,81559,36,301.68
2026/02/02 09:37:06.549,6,91,77177,81559,41,314.22
2026/02/02 09:37:06.576,7,91,76677,81559,35,305.72
2026/02/02 09:37:07.850,0,81,76757,81559,42,306.63
2026/02/02 09:37:07.861,1,92,77241,81559,40,297.64
2026/02/02 09:37:07.890,2,91,77065,81559,37,297.92
2026/02/02 09:37:07.923,3,88,76551,81559,41,311.74
2026/02/02 09:37:07.945,4,89,77115,81559,43,297.08
2026/02/02 09:37:07.962,5,89,77617,81559,36,292.48
2026/02/02 09:37:07.968,6,91,77177,81559,41,300.95
2026/02/02 09:37:07.973,7,89,76677,81559,35,297.30
2026/02/02 09:37:09.243,0,92,76757,81559,42,314.45
2026/02/02 09:37:09.256,1,91,77241,81559,40,308.73
2026/02/02 09:37:09.265,2,91,77065,81559,37,307.98
2026/02/02 09:37:09.275,3,91,76551,81559,42,323.95
2026/02/02 09:37:09.284,4,90,77115,81559,43,313.87
2026/02/02 09:37:09.293,5,90,77617,81559,36,302.90
2026/02/02 09:37:09.303,6,89,77177,81559,41,313.91
2026/02/02 09:37:09.337,7,91,76677,81559,34,304.76
2026/02/02 09:37:10.634,0,92,76757,81559,42,316.16
2026/02/02 09:37:10.654,1,92,77241,81559,40,308.17
2026/02/02 09:37:10.671,2,91,77065,81559,37,307.68
2026/02/02 09:37:10.687,3,92,76551,81559,42,322.67
2026/02/02 09:37:10.717,4,91,77115,81559,43,312.10
2026/02/02 09:37:10.740,5,91,77617,81559,36,301.83
2026/02/02 09:37:10.746,6,91,77177,81559,41,311.69
2026/02/02 09:37:10.751,7,91,76677,81559,35,308.00
2026/02/02 09:37:11.978,0,92,76757,81559,42,315.61
2026/02/02 09:37:11.987,1,88,77241,81559,40,298.70
2026/02/02 09:37:12.004,2,90,77065,81559,37,308.60
2026/02/02 09:37:12.017,3,91,76551,81559,42,316.81
2026/02/02 09:37:12.027,4,91,77115,81559,43,308.91
2026/02/02 09:37:12.037,5,92,77617,81559,36,299.02
2026/02/02 09:37:12.045,6,88,77177,81559,41,312.11
2026/02/02 09:37:12.064,7,91,76677,81559,35,300.41
2026/02/02 09:37:13.399,0,91,76757,81559,42,311.10
2026/02/02 09:37:13.411,1,88,77241,81559,40,310.55
2026/02/02 09:37:13.422,2,91,77065,81559,37,306.71
2026/02/02 09:37:13.428,3,91,76551,81559,42,325.48
2026/02/02 09:37:13.438,4,91,77115,81559,43,307.05
2026/02/02 09:37:13.447,5,91,77617,81559,36,298.49
2026/02/02 09:37:13.456,6,91,77177,81559,41,311.57
2026/02/02 09:37:13.466,7,93,76677,81559,35,306.53
2026/02/02 09:37:14.764,0,91,76757,81559,41,319.87
2026/02/02 09:37:14.777,1,91,77241,81559,40,298.18
2026/02/02 09:37:14.789,2,91,77065,81559,37,312.07
2026/02/02 09:37:14.795,3,91,76551,81559,42,311.67
2026/02/02 09:37:14.801,4,91,77115,81559,43,309.95
2026/02/02 09:37:14.807,5,91,77617,81559,36,301.66
2026/02/02 09:37:14.812,6,91,77177,81559,40,314.38
2026/02/02 09:37:14.816,7,91,76677,81559,35,296.48
2026/02/02 09:37:16.022,0,92,76757,81559,42,312.55
2026/02/02 09:37:16.035,1,92,77241,81559,40,303.43
2026/02/02 09:37:16.045,2,91,77065,81559,37,308.17
2026/02/02 09:37:16.085,3,91,76551,81559,42,318.61
2026/02/02 09:37:16.105,4,91,77115,81559,43,311.47
2026/02/02 09:37:16.126,5,91,77617,81559,36,304.44
2026/02/02 09:37:16.142,6,91,77177,81559,41,315.45
2026/02/02 09:37:16.159,7,91,76677,81559,35,299.76
2026/02/02 09:37:17.405,0,92,76757,81559,42,309.72
2026/02/02 09:37:17.417,1,91,77241,81559,40,305.88
