timestamp,gpu_id,utilization_gpu,memory_used,memory_total,temperature,power_draw,process_info
2026/02/02 11:46:21.715,0,0,4,81559,26,71.62,
2026/02/02 11:46:21.716,1,0,4,81559,28,73.30,
2026/02/02 11:46:21.724,2,0,4,81559,25,73.82,
2026/02/02 11:46:21.733,3,0,39,81559,25,77.03,
2026/02/02 11:46:21.743,4,0,37,81559,28,78.79,
2026/02/02 11:46:21.749,5,0,4,81559,25,70.57,
2026/02/02 11:46:21.759,6,0,4,81559,24,73.05,
2026/02/02 11:46:21.770,7,0,4,81559,23,70.89,
2026/02/02 11:46:22.963,0,0,4,81559,26,71.69,
2026/02/02 11:46:22.964,1,0,525,81559,29,119.03,
2026/02/02 11:46:22.969,2,0,525,81559,27,120.17,
2026/02/02 11:46:22.974,3,0,525,81559,26,119.20,
2026/02/02 11:46:22.981,4,0,525,81559,28,117.13,
2026/02/02 11:46:22.987,5,0,525,81559,26,116.31,
2026/02/02 11:46:23.003,6,0,525,81559,26,120.96,
2026/02/02 11:46:23.013,7,0,525,81559,24,116.45,
2026/02/02 11:46:24.170,0,0,525,81559,27,114.96,
2026/02/02 11:46:24.171,1,0,525,81559,30,118.58,
2026/02/02 11:46:24.171,2,0,525,81559,27,120.21,
2026/02/02 11:46:24.176,3,0,525,81559,26,119.44,
2026/02/02 11:46:24.180,4,0,525,81559,28,117.31,
2026/02/02 11:46:24.187,5,0,525,81559,26,116.20,
2026/02/02 11:46:24.203,6,0,525,81559,26,120.40,
2026/02/02 11:46:24.212,7,0,525,81559,24,115.89,
2026/02/02 11:46:25.388,0,0,525,81559,27,118.75,
2026/02/02 11:46:25.389,1,0,525,81559,30,118.67,
2026/02/02 11:46:25.390,2,0,525,81559,27,120.24,
2026/02/02 11:46:25.391,3,0,525,81559,26,119.29,
2026/02/02 11:46:25.399,4,5,23895,81559,29,124.35,
2026/02/02 11:46:25.404,5,1,1161,81559,26,116.57,
2026/02/02 11:46:25.416,6,2,5805,81559,26,122.86,
2026/02/02 11:46:25.425,7,7,12703,81559,24,120.83,
2026/02/02 11:46:26.928,0,1,15853,81559,28,122.94,
2026/02/02 11:46:26.931,1,2,8321,81559,30,121.66,
2026/02/02 11:46:26.952,2,2,23589,81559,27,122.97,
2026/02/02 11:46:26.958,3,3,7993,81559,26,122.56,
2026/02/02 11:46:26.966,4,0,24291,81559,29,117.50,
2026/02/02 11:46:26.987,5,0,24291,81559,26,116.53,
2026/02/02 11:46:27.016,6,0,24291,81559,26,120.71,
2026/02/02 11:46:27.020,7,0,24291,81559,24,116.07,
2026/02/02 11:46:28.361,0,0,23857,81559,27,118.93,
2026/02/02 11:46:28.363,1,0,23887,81559,30,118.78,
2026/02/02 11:46:28.365,2,0,23917,81559,27,120.58,
2026/02/02 11:46:28.373,3,0,23917,81559,26,119.64,
2026/02/02 11:46:28.380,4,0,25493,81559,29,119.89,
2026/02/02 11:46:28.387,5,0,25541,81559,26,118.04,
2026/02/02 11:46:28.405,6,0,25541,81559,26,122.92,
2026/02/02 11:46:28.414,7,0,25301,81559,24,117.58,
2026/02/02 11:46:29.586,0,5,25475,81559,28,123.60,
2026/02/02 11:46:29.589,1,0,25523,81559,30,125.12,
2026/02/02 11:46:29.590,2,3,25523,81559,27,127.16,
2026/02/02 11:46:29.601,3,0,25171,81559,26,124.13,
2026/02/02 11:46:29.607,4,0,25781,81559,29,119.08,
2026/02/02 11:46:29.612,5,4,25829,81559,26,118.09,
2026/02/02 11:46:29.618,6,3,25829,81559,26,122.06,
2026/02/02 11:46:29.626,7,0,25469,81559,24,116.14,
2026/02/02 11:46:30.823,0,7,25475,81559,28,119.59,
2026/02/02 11:46:30.825,1,8,25523,81559,30,119.36,
2026/02/02 11:46:30.826,2,8,25523,81559,27,121.02,
2026/02/02 11:46:30.832,3,0,25171,81559,26,119.49,
2026/02/02 11:46:30.839,4,7,25781,81559,29,118.01,
2026/02/02 11:46:30.845,5,7,25829,81559,26,117.00,
2026/02/02 11:46:30.853,6,7,25829,81559,26,121.12,
2026/02/02 11:46:30.859,7,0,25469,81559,24,116.20,
2026/02/02 11:46:32.017,0,9,25475,81559,28,119.54,
2026/02/02 11:46:32.019,1,8,25523,81559,30,119.29,
2026/02/02 11:46:32.020,2,7,25523,81559,27,120.96,
2026/02/02 11:46:32.021,3,0,25171,81559,26,119.50,
2026/02/02 11:46:32.022,4,6,25781,81559,29,117.98,
2026/02/02 11:46:32.032,5,6,25829,81559,26,116.99,
2026/02/02 11:46:32.038,6,7,25829,81559,26,121.15,
2026/02/02 11:46:32.044,7,0,25469,81559,24,116.17,
2026/02/02 11:46:33.192,0,0,25475,81559,28,119.00,
2026/02/02 11:46:33.194,1,0,25523,81559,30,118.82,
2026/02/02 11:46:33.195,2,0,25523,81559,27,120.50,
2026/02/02 11:46:33.196,3,0,25171,81559,26,119.80,
2026/02/02 11:46:33.197,4,0,25781,81559,29,117.72,
2026/02/02 11:46:33.205,5,0,25829,81559,26,116.62,
2026/02/02 11:46:33.213,6,0,25829,81559,26,120.68,
2026/02/02 11:46:33.220,7,0,25469,81559,24,116.11,
2026/02/02 11:46:34.382,0,0,25475,81559,28,119.04,
2026/02/02 11:46:34.384,1,0,25523,81559,30,118.78,
2026/02/02 11:46:34.385,2,0,25523,81559,27,120.52,
2026/02/02 11:46:34.386,3,0,25171,81559,26,119.63,
2026/02/02 11:46:34.387,4,0,25781,81559,29,117.59,
2026/02/02 11:46:34.388,5,0,25829,81559,26,116.57,
2026/02/02 11:46:34.402,6,0,25829,81559,26,120.74,
2026/02/02 11:46:34.413,7,0,25469,81559,24,116.14,
2026/02/02 11:46:35.589,0,0,25475,81559,28,119.11,
2026/02/02 11:46:35.614,1,0,25523,81559,30,118.84,
2026/02/02 11:46:35.619,2,0,25523,81559,27,120.53,
2026/02/02 11:46:35.620,3,0,25171,81559,26,119.46,
2026/02/02 11:46:35.621,4,0,25781,81559,29,117.67,
2026/02/02 11:46:35.622,5,0,25829,81559,26,116.57,
2026/02/02 11:46:35.623,6,0,25829,81559,26,120.76,
2026/02/02 11:46:35.629,7,0,25469,81559,24,116.09,
2026/02/02 11:46:36.827,0,0,25475,81559,28,119.05,
2026/02/02 11:46:36.828,1,0,25523,81559,30,118.86,
2026/02/02 11:46:36.830,2,0,25523,81559,27,120.58,
2026/02/02 11:46:36.831,3,0,25171,81559,26,119.61,
2026/02/02 11:46:36.832,4,0,25781,81559,29,117.67,
2026/02/02 11:46:36.833,5,0,25829,81559,26,116.62,
2026/02/02 11:46:36.834,6,0,25829,81559,26,120.74,
2026/02/02 11:46:36.834,7,0,25469,81559,24,116.06,
2026/02/02 11:46:38.017,0,0,25475,81559,28,119.09,
2026/02/02 11:46:38.019,1,0,25523,81559,30,118.85,
2026/02/02 11:46:38.021,2,0,25523,81559,27,120.59,
2026/02/02 11:46:38.022,3,0,25171,81559,26,119.74,
2026/02/02 11:46:38.023,4,0,25781,81559,29,117.67,
2026/02/02 11:46:38.024,5,0,25829,81559,26,116.58,
2026/02/02 11:46:38.025,6,0,25829,81559,26,120.76,
2026/02/02 11:46:38.026,7,0,25469,81559,24,116.10,
2026/02/02 11:46:39.275,0,0,25475,81559,28,119.11,
2026/02/02 11:46:39.277,1,0,25523,81559,30,118.81,
2026/02/02 11:46:39.282,2,0,25523,81559,27,120.62,
