timestamp,gpu_id,utilization_gpu,memory_used,memory_total,temperature,power_draw,process_info
2026/02/02 12:49:44.731,0,27,48222,81559,31,149.26,ray::WorkerDict.wake_up; sglang::scheduler_TP0_EP0
2026/02/02 12:49:44.738,1,81,48198,81559,33,147.07,ray::WorkerDict.wake_up; sglang::scheduler_TP1_EP1
2026/02/02 12:49:44.742,2,84,48150,81559,30,150.01,ray::WorkerDict.wake_up; sglang::scheduler_TP2_EP2
2026/02/02 12:49:44.745,3,82,47718,81559,30,149.73,ray::WorkerDict.wake_up; sglang::scheduler_TP3_EP3
2026/02/02 12:49:44.747,4,86,48836,81559,33,146.15,ray::WorkerDict.wake_up; sglang::scheduler_TP4_EP4
2026/02/02 12:49:44.750,5,81,48980,81559,28,144.95,ray::WorkerDict.wake_up; sglang::scheduler_TP5_EP5
2026/02/02 12:49:44.752,6,76,48932,81559,30,149.80,ray::WorkerDict.wake_up; sglang::scheduler_TP6_EP6
2026/02/02 12:49:44.755,7,82,48500,81559,27,145.69,ray::WorkerDict.wake_up; sglang::scheduler_TP7_EP7
2026/02/02 12:49:46.402,0,10,48222,81559,31,147.90,ray::WorkerDict.wake_up; sglang::scheduler_TP0_EP0
2026/02/02 12:49:46.408,1,81,48198,81559,32,145.53,ray::WorkerDict.wake_up; sglang::scheduler_TP1_EP1
2026/02/02 12:49:46.411,2,85,48150,81559,29,148.41,ray::WorkerDict.wake_up; sglang::scheduler_TP2_EP2
2026/02/02 12:49:46.414,3,86,47718,81559,30,149.12,ray::WorkerDict.wake_up; sglang::scheduler_TP3_EP3
2026/02/02 12:49:46.427,4,85,48836,81559,32,147.94,ray::WorkerDict.wake_up; sglang::scheduler_TP4_EP4
2026/02/02 12:49:46.457,5,81,48980,81559,29,144.51,ray::WorkerDict.wake_up; sglang::scheduler_TP5_EP5
2026/02/02 12:49:46.461,6,82,48932,81559,30,149.80,ray::WorkerDict.wake_up; sglang::scheduler_TP6_EP6
2026/02/02 12:49:46.482,7,82,48500,81559,27,145.49,ray::WorkerDict.wake_up; sglang::scheduler_TP7_EP7
2026/02/02 12:49:47.947,0,20,48222,81559,31,146.76,ray::WorkerDict.wake_up; sglang::scheduler_TP0_EP0
2026/02/02 12:49:47.953,1,89,48198,81559,33,144.35,ray::WorkerDict.wake_up; sglang::scheduler_TP1_EP1
2026/02/02 12:49:47.956,2,81,48150,81559,30,146.77,ray::WorkerDict.wake_up; sglang::scheduler_TP2_EP2
2026/02/02 12:49:47.958,3,81,47718,81559,30,148.08,ray::WorkerDict.wake_up; sglang::scheduler_TP3_EP3
2026/02/02 12:49:47.961,4,81,48836,81559,32,146.40,ray::WorkerDict.wake_up; sglang::scheduler_TP4_EP4
2026/02/02 12:49:47.963,5,85,48980,81559,28,143.37,ray::WorkerDict.wake_up; sglang::scheduler_TP5_EP5
2026/02/02 12:49:47.965,6,83,48932,81559,30,148.65,ray::WorkerDict.wake_up; sglang::scheduler_TP6_EP6
2026/02/02 12:49:47.968,7,83,48500,81559,27,145.78,ray::WorkerDict.wake_up; sglang::scheduler_TP7_EP7
2026/02/02 12:49:49.356,0,19,48222,81559,31,146.71,ray::WorkerDict.wake_up; sglang::scheduler_TP0_EP0
2026/02/02 12:49:49.363,1,91,48198,81559,33,144.43,ray::WorkerDict.wake_up; sglang::scheduler_TP1_EP1
2026/02/02 12:49:49.366,2,83,48150,81559,30,146.98,ray::WorkerDict.wake_up; sglang::scheduler_TP2_EP2
2026/02/02 12:49:49.368,3,81,47718,81559,30,148.04,ray::WorkerDict.wake_up; sglang::scheduler_TP3_EP3
2026/02/02 12:49:49.371,4,81,48836,81559,33,146.29,ray::WorkerDict.wake_up; sglang::scheduler_TP4_EP4
2026/02/02 12:49:49.373,5,86,48980,81559,28,142.68,ray::WorkerDict.wake_up; sglang::scheduler_TP5_EP5
2026/02/02 12:49:49.375,6,86,48932,81559,30,148.22,ray::WorkerDict.wake_up; sglang::scheduler_TP6_EP6
2026/02/02 12:49:49.378,7,82,48500,81559,27,144.07,ray::WorkerDict.wake_up; sglang::scheduler_TP7_EP7
2026/02/02 12:49:50.872,0,19,48222,81559,31,148.84,ray::WorkerDict.wake_up; sglang::scheduler_TP0_EP0
2026/02/02 12:49:50.877,1,81,48198,81559,32,145.81,ray::WorkerDict.wake_up; sglang::scheduler_TP1_EP1
2026/02/02 12:49:50.881,2,78,48150,81559,29,148.73,ray::WorkerDict.wake_up; sglang::scheduler_TP2_EP2
2026/02/02 12:49:50.884,3,85,47718,81559,30,148.94,ray::WorkerDict.wake_up; sglang::scheduler_TP3_EP3
2026/02/02 12:49:50.887,4,85,48836,81559,32,145.53,ray::WorkerDict.wake_up; sglang::scheduler_TP4_EP4
2026/02/02 12:49:50.890,5,76,48980,81559,29,145.18,ray::WorkerDict.wake_up; sglang::scheduler_TP5_EP5
2026/02/02 12:49:50.896,6,88,48932,81559,30,149.28,ray::WorkerDict.wake_up; sglang::scheduler_TP6_EP6
2026/02/02 12:49:50.900,7,82,48500,81559,26,145.46,ray::WorkerDict.wake_up; sglang::scheduler_TP7_EP7
2026/02/02 12:49:52.294,0,16,48222,81559,31,149.02,ray::WorkerDict.wake_up; sglang::scheduler_TP0_EP0
2026/02/02 12:49:52.299,1,89,48198,81559,32,145.11,ray::WorkerDict.wake_up; sglang::scheduler_TP1_EP1
2026/02/02 12:49:52.302,2,84,48150,81559,29,149.18,ray::WorkerDict.wake_up; sglang::scheduler_TP2_EP2
2026/02/02 12:49:52.304,3,89,47718,81559,30,149.55,ray::WorkerDict.wake_up; sglang::scheduler_TP3_EP3
2026/02/02 12:49:52.306,4,90,48836,81559,32,143.54,ray::WorkerDict.wake_up; sglang::scheduler_TP4_EP4
2026/02/02 12:49:52.308,5,82,48980,81559,28,143.13,ray::WorkerDict.wake_up; sglang::scheduler_TP5_EP5
2026/02/02 12:49:52.310,6,86,48932,81559,30,147.32,ray::WorkerDict.wake_up; sglang::scheduler_TP6_EP6
2026/02/02 12:49:52.313,7,90,48500,81559,26,143.14,ray::WorkerDict.wake_up; sglang::scheduler_TP7_EP7
