timestamp,gpu_id,utilization_gpu,memory_used,memory_total,temperature,power_draw,process_info
2026/02/02 13:13:55.021,0,99,47838,81559,40,298.41,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP0_EP0
2026/02/02 13:13:55.043,1,93,46654,81559,38,284.02,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP1_EP1
2026/02/02 13:13:55.051,2,100,47356,81559,38,292.23,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP2_EP2
2026/02/02 13:13:55.058,3,91,46396,81559,41,325.08,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP3_EP3
2026/02/02 13:13:55.086,4,94,49188,81559,43,350.74,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP4_EP4
2026/02/02 13:13:55.092,5,94,50212,81559,36,364.92,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP5_EP5
2026/02/02 13:13:55.098,6,91,49710,81559,40,398.19,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP6_EP6
2026/02/02 13:13:55.104,7,93,48830,81559,34,360.72,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP7_EP7
2026/02/02 13:13:57.167,0,80,47840,81559,43,283.16,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP0_EP0
2026/02/02 13:13:57.181,1,96,46656,81559,43,284.47,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP1_EP1
2026/02/02 13:13:57.193,2,100,47358,81559,40,282.79,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP2_EP2
2026/02/02 13:13:57.203,3,89,46396,81559,42,306.11,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP3_EP3
2026/02/02 13:13:57.222,4,100,49188,81559,45,317.61,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP4_EP4
2026/02/02 13:13:57.273,5,100,50212,81559,37,324.31,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP5_EP5
2026/02/02 13:13:57.282,6,100,49712,81559,45,342.33,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP6_EP6
2026/02/02 13:13:57.304,7,100,48832,81559,38,315.86,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP7_EP7
2026/02/02 13:13:59.547,0,80,47840,81559,45,486.88,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP0_EP0
2026/02/02 13:13:59.576,1,84,46656,81559,46,466.97,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP1_EP1
2026/02/02 13:13:59.601,2,85,47358,81559,44,477.15,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP2_EP2
2026/02/02 13:13:59.619,3,87,46396,81559,46,463.33,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP3_EP3
2026/02/02 13:13:59.648,4,91,49188,81559,47,447.57,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP4_EP4
2026/02/02 13:13:59.666,5,88,50212,81559,41,468.77,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP5_EP5
2026/02/02 13:13:59.678,6,90,49712,81559,46,478.34,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP6_EP6
2026/02/02 13:13:59.685,7,84,48832,81559,40,449.89,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP7_EP7
2026/02/02 13:14:01.385,0,87,47840,81559,42,341.14,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP0_EP0
2026/02/02 13:14:01.397,1,90,46656,81559,42,331.54,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP1_EP1
2026/02/02 13:14:01.406,2,94,47358,81559,38,353.83,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP2_EP2
2026/02/02 13:14:01.413,3,93,46396,81559,45,360.62,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP3_EP3
2026/02/02 13:14:01.420,4,83,49188,81559,48,440.92,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP4_EP4
2026/02/02 13:14:01.427,5,87,50212,81559,42,419.78,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP5_EP5
2026/02/02 13:14:01.443,6,88,49712,81559,47,469.21,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP6_EP6
2026/02/02 13:14:01.451,7,88,48832,81559,40,439.02,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP7_EP7
2026/02/02 13:14:02.990,0,12,48202,81559,37,276.30,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP0_EP0
2026/02/02 13:14:03.005,1,12,47398,81559,37,259.48,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP1_EP1
