timestamp,gpu_id,utilization_gpu,memory_used,memory_total,temperature,power_draw,process_info
2026/02/02 13:30:42.873,0,95,77456,81559,40,347.40,ray::WorkerDict; sglang::scheduler_TP0_EP0
2026/02/02 13:30:42.879,1,96,77394,81559,39,342.02,ray::WorkerDict; sglang::scheduler_TP1_EP1
2026/02/02 13:30:42.885,2,96,77274,81559,36,335.14,ray::WorkerDict; sglang::scheduler_TP2_EP2
2026/02/02 13:30:42.888,3,76,76694,81559,39,345.17,ray::WorkerDict; sglang::scheduler_TP3_EP3
2026/02/02 13:30:42.892,4,96,77628,81559,41,331.82,ray::WorkerDict; sglang::scheduler_TP4_EP4
2026/02/02 13:30:42.902,5,96,77848,81559,35,332.26,ray::WorkerDict; sglang::scheduler_TP5_EP5
2026/02/02 13:30:42.906,6,95,77650,81559,38,343.14,ray::WorkerDict; sglang::scheduler_TP6_EP6
2026/02/02 13:30:42.910,7,95,77012,81559,33,333.06,ray::WorkerDict; sglang::scheduler_TP7_EP7
2026/02/02 13:30:44.596,0,99,77456,81559,40,352.02,ray::WorkerDict; sglang::scheduler_TP0_EP0
2026/02/02 13:30:44.610,1,99,77394,81559,39,341.13,ray::WorkerDict; sglang::scheduler_TP1_EP1
2026/02/02 13:30:44.624,2,98,77274,81559,37,340.11,ray::WorkerDict; sglang::scheduler_TP2_EP2
2026/02/02 13:30:44.630,3,98,76694,81559,39,353.59,ray::WorkerDict; sglang::scheduler_TP3_EP3
2026/02/02 13:30:44.635,4,99,77628,81559,41,337.73,ray::WorkerDict; sglang::scheduler_TP4_EP4
2026/02/02 13:30:44.647,5,99,77848,81559,36,340.77,ray::WorkerDict; sglang::scheduler_TP5_EP5
2026/02/02 13:30:44.653,6,98,77650,81559,39,345.64,ray::WorkerDict; sglang::scheduler_TP6_EP6
2026/02/02 13:30:44.658,7,99,77012,81559,35,336.00,ray::WorkerDict; sglang::scheduler_TP7_EP7
2026/02/02 13:30:46.419,0,99,77456,81559,40,348.82,ray::WorkerDict; sglang::scheduler_TP0_EP0
2026/02/02 13:30:46.427,1,94,77394,81559,41,341.62,ray::WorkerDict; sglang::scheduler_TP1_EP1
2026/02/02 13:30:46.434,2,94,77274,81559,38,342.08,ray::WorkerDict; sglang::scheduler_TP2_EP2
