timestamp,gpu_id,utilization_gpu,memory_used,memory_total,temperature,power_draw,process_info
2026/02/02 13:38:39.831,0,0,21696,81559,34,123.12,ray::WorkerDict.actor_rollout_compute_log_prob; sglang::scheduler_TP0_EP0
2026/02/02 13:38:39.859,1,0,21734,81559,33,119.83,ray::WorkerDict; sglang::scheduler_TP1_EP1
2026/02/02 13:38:39.886,2,0,21694,81559,31,121.95,ray::WorkerDict; sglang::scheduler_TP2_EP2
2026/02/02 13:38:39.914,3,0,20974,81559,33,123.17,ray::WorkerDict; sglang::scheduler_TP3_EP3
2026/02/02 13:38:39.921,4,0,21768,81559,36,122.61,ray::WorkerDict.actor_rollout_compute_log_prob; sglang::scheduler_TP4_EP4
2026/02/02 13:38:39.928,5,0,22074,81559,30,117.52,ray::WorkerDict.actor_rollout_compute_log_prob; sglang::scheduler_TP5_EP5
2026/02/02 13:38:39.933,6,0,22052,81559,33,123.52,ray::WorkerDict; sglang::scheduler_TP6_EP6
2026/02/02 13:38:39.938,7,0,21274,81559,28,117.18,ray::WorkerDict; sglang::scheduler_TP7_EP7
2026/02/02 13:38:42.227,0,0,14056,81559,34,122.46,ray::WorkerDict; sglang::scheduler_TP0_EP0
2026/02/02 13:38:42.235,1,0,14094,81559,33,119.55,ray::WorkerDict; sglang::scheduler_TP1_EP1
2026/02/02 13:38:42.240,2,0,14074,81559,30,121.49,ray::WorkerDict; sglang::scheduler_TP2_EP2
2026/02/02 13:38:42.243,3,0,13374,81559,32,122.73,ray::WorkerDict; sglang::scheduler_TP3_EP3
2026/02/02 13:38:42.246,4,0,14028,81559,36,122.22,ray::WorkerDict; sglang::scheduler_TP4_EP4
2026/02/02 13:38:42.248,5,0,14334,81559,30,117.14,ray::WorkerDict; sglang::scheduler_TP5_EP5
2026/02/02 13:38:42.251,6,0,14332,81559,33,122.98,ray::WorkerDict; sglang::scheduler_TP6_EP6
2026/02/02 13:38:42.255,7,0,13554,81559,28,116.86,ray::WorkerDict; sglang::scheduler_TP7_EP7
2026/02/02 13:38:43.554,0,0,14056,81559,34,122.03,ray::WorkerDict; sglang::scheduler_TP0_EP0
2026/02/02 13:38:43.561,1,0,14094,81559,33,119.54,ray::WorkerDict; sglang::scheduler_TP1_EP1
2026/02/02 13:38:43.566,2,0,14074,81559,30,121.45,ray::WorkerDict; sglang::scheduler_TP2_EP2
2026/02/02 13:38:43.571,3,0,13374,81559,32,122.68,ray::WorkerDict; sglang::scheduler_TP3_EP3
2026/02/02 13:38:43.576,4,0,14028,81559,35,122.05,ray::WorkerDict; sglang::scheduler_TP4_EP4
2026/02/02 13:38:43.580,5,0,14334,81559,30,117.00,ray::WorkerDict; sglang::scheduler_TP5_EP5
2026/02/02 13:38:43.584,6,0,14332,81559,33,122.91,ray::WorkerDict; sglang::scheduler_TP6_EP6
2026/02/02 13:38:43.587,7,0,13554,81559,28,116.72,ray::WorkerDict; sglang::scheduler_TP7_EP7
2026/02/02 13:38:45.051,0,0,14056,81559,33,121.92,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP0_EP0
2026/02/02 13:38:45.056,1,0,14094,81559,33,119.44,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP1_EP1
2026/02/02 13:38:45.059,2,0,14074,81559,30,121.36,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP2_EP2
2026/02/02 13:38:45.062,3,0,13374,81559,32,122.55,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP3_EP3
2026/02/02 13:38:45.069,4,0,14028,81559,35,121.92,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP4_EP4
2026/02/02 13:38:45.072,5,0,14334,81559,30,116.99,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP5_EP5
2026/02/02 13:38:45.074,6,0,14332,81559,33,122.78,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP6_EP6
2026/02/02 13:38:45.077,7,0,13554,81559,27,116.71,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP7_EP7
2026/02/02 13:38:46.545,0,38,29336,81559,33,123.45,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP0_EP0
2026/02/02 13:38:46.556,1,1,29374,81559,32,122.46,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP1_EP1
2026/02/02 13:38:46.565,2,25,29354,81559,30,123.80,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP2_EP2
2026/02/02 13:38:46.573,3,37,28674,81559,32,124.02,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP3_EP3
2026/02/02 13:38:46.581,4,10,29508,81559,35,123.92,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP4_EP4
2026/02/02 13:38:46.589,5,6,29814,81559,30,119.13,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP5_EP5
2026/02/02 13:38:46.596,6,37,29792,81559,32,124.74,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP6_EP6
2026/02/02 13:38:46.609,7,10,29014,81559,27,118.49,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP7_EP7
2026/02/02 13:38:48.120,0,100,29416,81559,34,142.98,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP0_EP0
